iter	Logloss	Accuracy
0	0.6531090877	0.7633976834
1	0.6177122397	0.766023166
2	0.5884618911	0.7714285714
3	0.5574654395	0.7731274131
4	0.5412510471	0.7745173745
5	0.5208990734	0.7752895753
6	0.5106885451	0.776988417
7	0.5021546095	0.7777606178
8	0.4919329745	0.7799227799
9	0.4835548369	0.7806949807
10	0.4776460821	0.7831660232
11	0.4721088312	0.7845559846
12	0.4657031873	0.7868725869
13	0.4586802663	0.7877992278
14	0.4545502581	0.789034749
15	0.4507701152	0.7915057915
16	0.446885785	0.7928957529
17	0.4433386139	0.7955212355
18	0.4384140756	0.7961389961
19	0.4356469787	0.7975289575
20	0.4338304704	0.7983011583
21	0.4308638949	0.7992277992
22	0.4283455223	0.8001544402
23	0.4264012185	0.7998455598
24	0.4241016467	0.8023166023
25	0.4211241362	0.8029343629
26	0.4193523082	0.8032432432
27	0.4178369361	0.8037065637
28	0.4162989158	0.8027799228
29	0.4140671342	0.8044787645
30	0.4121845754	0.8066409266
31	0.4084440288	0.8078764479
32	0.4059855929	0.8086486486
33	0.4042111577	0.8088030888
34	0.4030803981	0.8092664093
35	0.401707305	0.8101930502
36	0.4001104141	0.8097297297
37	0.398677522	0.8101930502
38	0.3976644721	0.8105019305
39	0.3967575352	0.8101930502
40	0.3959824386	0.8108108108
41	0.3943804937	0.8117374517
42	0.3935668607	0.8122007722
43	0.3923890287	0.8123552124
44	0.3917572032	0.8128185328
45	0.3908035817	0.8131274131
46	0.3900715248	0.8137451737
47	0.389447928	0.8143629344
48	0.3885429835	0.8131274131
49	0.3874526952	0.814980695
50	0.3849123802	0.8152895753
51	0.3843078112	0.8159073359
52	0.3837082923	0.8162162162
53	0.3828832625	0.8162162162
54	0.3825105611	0.8162162162
55	0.381730218	0.8171428571
56	0.3812164395	0.8172972973
57	0.3807565121	0.8176061776
58	0.3800305754	0.8177606178
59	0.3796285038	0.8177606178
60	0.3790079248	0.8180694981
61	0.3781073854	0.8193050193
62	0.3774166911	0.8191505792
63	0.3769860643	0.8194594595
64	0.3766832065	0.8203861004
65	0.3760072358	0.821003861
66	0.3754317642	0.8216216216
67	0.3749823386	0.8211583012
68	0.3742976757	0.821003861
69	0.3737515046	0.8202316602
70	0.3735530257	0.8200772201
71	0.3730824429	0.8213127413
72	0.3727763295	0.8213127413
73	0.3720518457	0.8220849421
74	0.3714977594	0.8220849421
75	0.3703631737	0.823011583
76	0.369353269	0.8244015444
77	0.3688877764	0.8256370656
78	0.3684652521	0.8259459459
79	0.3680592569	0.8261003861
80	0.3671806165	0.8257915058
81	0.3660400003	0.8264092664
82	0.3653382839	0.8268725869
83	0.3640582125	0.8277992278
84	0.3632509918	0.82996139
85	0.362631073	0.8298069498
86	0.3619712666	0.8305791506
87	0.3616612177	0.82996139
88	0.3613341293	0.8311969112
89	0.360712152	0.831042471
90	0.3601856667	0.8313513514
91	0.3590162802	0.831042471
92	0.3577568658	0.8328957529
93	0.3574086316	0.8325868726
94	0.3570686624	0.8327413127
95	0.3563123336	0.831969112
96	0.3558152298	0.8324324324
97	0.355494975	0.8321235521
98	0.3545977393	0.8321235521
99	0.3535963069	0.8328957529
100	0.3529198546	0.8328957529
101	0.3519082017	0.8342857143
102	0.3518801754	0.8341312741
103	0.351487662	0.8341312741
104	0.3503944995	0.8347490347
105	0.3499653385	0.8353667954
106	0.3493940558	0.8356756757
107	0.3487320867	0.8355212355
108	0.3480783459	0.8358301158
109	0.3474907753	0.8361389961
110	0.3469308018	0.8376833977
111	0.3469218272	0.8376833977
112	0.3465955931	0.8384555985
113	0.3460678096	0.8381467181
114	0.3455079112	0.8387644788
115	0.3446387131	0.8390733591
116	0.3442129891	0.8389189189
117	0.3439320112	0.8392277992
118	0.3431714885	0.8406177606
119	0.3421526238	0.8410810811
120	0.3417310284	0.8412355212
121	0.3411054824	0.8418532819
122	0.3404923936	0.8426254826
123	0.3398756954	0.8426254826
124	0.3389344618	0.8443243243
125	0.3387222999	0.8443243243
126	0.3382937136	0.8450965251
127	0.3381136073	0.8452509653
128	0.3374365099	0.8454054054
129	0.3369777066	0.8457142857
130	0.3362569523	0.8457142857
131	0.3352515222	0.8463320463
132	0.3337492781	0.8467953668
133	0.3329488023	0.8475675676
134	0.3323721418	0.8483397683
135	0.3316196821	0.8491119691
136	0.3311196277	0.8503474903
137	0.3304089938	0.8503474903
138	0.329822184	0.8508108108
139	0.3295471148	0.8506563707
140	0.329166151	0.8508108108
141	0.3285763347	0.8514285714
142	0.3282271878	0.8512741313
143	0.3273520164	0.8512741313
144	0.3268653692	0.8515830116
145	0.3263717476	0.8517374517
146	0.325675852	0.8515830116
147	0.3250652813	0.8518918919
148	0.3246300117	0.8534362934
149	0.3241897841	0.8542084942
150	0.3235436493	0.8542084942
151	0.3231164796	0.8546718147
152	0.3225186213	0.8551351351
153	0.3220157126	0.8554440154
154	0.3216206328	0.8559073359
155	0.320950517	0.8559073359
156	0.3204007578	0.8560617761
157	0.3198094306	0.8568339768
158	0.3192757606	0.8571428571
159	0.3189495213	0.8574517375
160	0.3183369212	0.8582239382
161	0.3183177271	0.8582239382
162	0.3176409086	0.8588416988
163	0.3171805872	0.8583783784
164	0.3162849504	0.858996139
165	0.3157668254	0.858996139
166	0.3155027171	0.8597683398
167	0.3149107041	0.8608494208
168	0.3148722005	0.8606949807
169	0.3143586795	0.8616216216
170	0.3139343678	0.8617760618
171	0.3133482949	0.8620849421
172	0.3129052365	0.8634749035
173	0.3123499101	0.8639382239
174	0.3118399696	0.8644015444
175	0.3115533429	0.8647104247
176	0.3111864538	0.8640926641
177	0.3105638425	0.8653281853
178	0.3102492708	0.8656370656
179	0.3099705949	0.8657915058
180	0.3095665619	0.8659459459
181	0.308971767	0.8668725869
182	0.3085474406	0.8673359073
183	0.3084582827	0.8671814672
184	0.3080776741	0.8673359073
185	0.3076618804	0.8671814672
186	0.3069711748	0.8684169884
187	0.3065311514	0.8681081081
188	0.3062125343	0.867953668
189	0.3054939206	0.869034749
190	0.3050113568	0.8698069498
191	0.3045020855	0.8704247104
192	0.3038825377	0.8708880309
193	0.3034613905	0.8711969112
194	0.30292536	0.8718146718
195	0.302560139	0.8724324324
196	0.3021449854	0.8725868726
197	0.3016529277	0.8727413127
198	0.3010211122	0.8736679537
199	0.3004724061	0.8730501931
200	0.3004253295	0.8735135135
201	0.2998326292	0.8735135135
202	0.2993170291	0.8732046332
203	0.2988219884	0.8738223938
204	0.2984174251	0.8744401544
205	0.298088983	0.8744401544
206	0.2973406672	0.8749034749
207	0.2969055838	0.8745945946
208	0.2967686833	0.8749034749
209	0.2965470396	0.8753667954
210	0.2961335903	0.8758301158
211	0.2957959535	0.8758301158
212	0.2954237391	0.875984556
213	0.2950766493	0.8764478764
214	0.2947760135	0.8767567568
215	0.2944225044	0.8773745174
216	0.2939113878	0.8770656371
217	0.2933655482	0.8778378378
218	0.293071282	0.8773745174
219	0.2928255154	0.8776833977
220	0.2925634425	0.8778378378
221	0.2923784259	0.8783011583
222	0.2919814328	0.8786100386
223	0.2914934431	0.877992278
224	0.2911474869	0.8784555985
225	0.2906439387	0.8786100386
226	0.2903321982	0.8787644788
227	0.2895600469	0.8801544402
228	0.2893048593	0.8796911197
229	0.289057036	0.88
230	0.2886318327	0.8804633205
231	0.2882450478	0.8803088803
232	0.2873015326	0.8812355212
233	0.2869652781	0.8810810811
234	0.2865914711	0.882007722
235	0.2864033747	0.882007722
236	0.2859511111	0.882007722
237	0.285609891	0.882007722
238	0.2853489651	0.882007722
239	0.2843400209	0.8847876448
240	0.2839793369	0.8847876448
241	0.2837265356	0.8849420849
242	0.2832067516	0.8849420849
243	0.2826274252	0.8850965251
244	0.2822683351	0.8854054054
245	0.2819982922	0.8855598456
246	0.2817911984	0.8857142857
247	0.2812424964	0.8867953668
248	0.2809849227	0.8864864865
249	0.2805868646	0.8863320463
250	0.2802779485	0.8866409266
251	0.2800962009	0.8866409266
252	0.2797149891	0.8874131274
253	0.2795668302	0.8874131274
254	0.27941525	0.8877220077
255	0.2791668121	0.8875675676
256	0.2789017154	0.888030888
257	0.2786073339	0.8877220077
258	0.2782882773	0.8878764479
259	0.2777697802	0.8875675676
260	0.2775018664	0.8878764479
261	0.2771969232	0.8878764479
262	0.276765659	0.8881853282
263	0.2765341397	0.8886486486
264	0.2762547462	0.8888030888
265	0.2759316872	0.8894208494
266	0.2755937533	0.8898841699
267	0.2755217044	0.8898841699
268	0.2751050342	0.89003861
269	0.2747363217	0.8906563707
270	0.2741187523	0.8915830116
271	0.2736828069	0.8915830116
272	0.2734208635	0.8912741313
273	0.2729163942	0.8917374517
274	0.2727602743	0.8918918919
275	0.2725060743	0.8923552124
276	0.2720982106	0.8928185328
277	0.2717780346	0.8922007722
278	0.2713292152	0.8928185328
279	0.27112922	0.8928185328
280	0.2706899975	0.8926640927
281	0.2704074068	0.8938996139
282	0.2702297807	0.8934362934
283	0.2698546903	0.8928185328
284	0.2694856047	0.8937451737
285	0.2691106352	0.8942084942
286	0.2684763388	0.8940540541
287	0.2682075083	0.8943629344
288	0.2681482721	0.8943629344
289	0.2677945764	0.8946718147
290	0.2674142748	0.8948262548
291	0.2671043688	0.8955984556
292	0.2667694678	0.894980695
293	0.2664153334	0.8951351351
294	0.2661292009	0.8952895753
295	0.2660970511	0.8952895753
296	0.2656856773	0.8957528958
297	0.2653279984	0.8959073359
298	0.2651781803	0.8959073359
299	0.2649079239	0.8959073359
300	0.2646941623	0.8963706564
301	0.2642558193	0.8963706564
302	0.2637267607	0.8966795367
303	0.2633176912	0.8972972973
304	0.2630395453	0.8977606178
305	0.2627979046	0.8979150579
306	0.2626764067	0.8983783784
307	0.2626060933	0.8985328185
308	0.2623537541	0.8982239382
309	0.2620036333	0.8983783784
310	0.261811054	0.8979150579
311	0.2614410246	0.8982239382
312	0.2613727294	0.8982239382
313	0.261072661	0.898996139
314	0.2606818052	0.8988416988
315	0.2603875693	0.898996139
316	0.2601869553	0.8993050193
317	0.2597404771	0.9000772201
318	0.2593975607	0.8999227799
319	0.2590994565	0.9006949807
320	0.25887673	0.9006949807
321	0.2585905058	0.9006949807
322	0.2583382543	0.9011583012
323	0.2579727224	0.9013127413
324	0.2576791214	0.9013127413
325	0.2573658943	0.901003861
326	0.2571171188	0.9008494208
327	0.2567875586	0.9016216216
328	0.2563868786	0.9017760618
329	0.2558618035	0.9020849421
330	0.2556668983	0.9027027027
331	0.2555551584	0.9025482625
332	0.2552104027	0.903011583
333	0.2549273967	0.903011583
334	0.2546938233	0.9023938224
335	0.2546008614	0.9023938224
336	0.2545913643	0.9023938224
337	0.2544043065	0.9027027027
338	0.2542392843	0.9034749035
339	0.2537688201	0.9031660232
340	0.2534337876	0.9031660232
341	0.2531673991	0.9034749035
342	0.2529341207	0.9036293436
343	0.2527281252	0.9040926641
344	0.252169225	0.9044015444
345	0.2518809366	0.9053281853
346	0.2515273589	0.9054826255
347	0.2510863883	0.9059459459
348	0.2507536671	0.9068725869
349	0.2505544142	0.9067181467
350	0.250384137	0.907027027
351	0.2502454974	0.9065637066
352	0.2500056569	0.9067181467
353	0.2498788359	0.907027027
354	0.2496687027	0.9068725869
355	0.2494637054	0.9065637066
356	0.2492384396	0.9068725869
357	0.2490023547	0.907027027
358	0.2484628442	0.9067181467
359	0.2482243508	0.9067181467
360	0.2479647328	0.9076447876
361	0.2475335726	0.9087258687
362	0.2472699403	0.9088803089
363	0.247044981	0.9096525097
364	0.2468745471	0.9093436293
365	0.2466282908	0.9093436293
366	0.2463117629	0.909034749
367	0.2462873733	0.9091891892
368	0.2460187287	0.9093436293
369	0.2457271687	0.9091891892
370	0.2456744098	0.9091891892
371	0.2454591307	0.9094980695
372	0.2452395096	0.9093436293
373	0.2447321109	0.9093436293
374	0.2443693247	0.90996139
375	0.244233291	0.90996139
376	0.2442228953	0.90996139
377	0.2440040556	0.9096525097
378	0.2439832986	0.9096525097
379	0.2438184289	0.9101158301
380	0.2436464802	0.9102702703
381	0.2433798923	0.9108880309
382	0.2432333435	0.911042471
383	0.2429841067	0.9113513514
384	0.2426731789	0.9115057915
385	0.2426541769	0.9115057915
386	0.2422423991	0.911969112
387	0.2419869056	0.911969112
388	0.2417389843	0.9122779923
389	0.2414696834	0.9118146718
390	0.2412435771	0.9124324324
391	0.2411044178	0.9124324324
392	0.2408425635	0.9125868726
393	0.2405895596	0.9130501931
394	0.2403730677	0.9130501931
395	0.2401605856	0.9130501931
396	0.2400004908	0.9133590734
397	0.2396427359	0.9132046332
398	0.2392765581	0.913976834
399	0.2388841368	0.9145945946
