iter	Passed	Remaining
0	13	5491
1	27	5570
2	40	5352
3	48	4816
4	60	4758
5	68	4500
6	75	4266
7	83	4105
8	90	3944
9	96	3764
10	104	3692
11	110	3558
12	117	3512
13	123	3416
14	129	3330
15	140	3383
16	148	3355
17	156	3313
18	162	3251
19	170	3242
20	180	3250
21	187	3218
22	195	3208
23	203	3183
24	213	3203
25	219	3163
26	232	3217
27	239	3187
28	247	3169
29	253	3128
30	260	3103
31	267	3074
32	272	3033
33	477	5144
34	485	5058
35	494	5001
36	500	4914
37	511	4871
38	516	4784
39	533	4805
40	546	4788
41	562	4795
42	583	4843
43	600	4860
44	611	4820
45	619	4766
46	628	4719
47	634	4649
48	645	4621
49	663	4642
50	682	4668
51	711	4764
52	744	4871
53	766	4912
54	796	4998
55	811	4984
56	817	4918
57	827	4880
58	844	4881
59	859	4873
60	877	4875
61	903	4928
62	911	4875
63	992	5212
64	998	5148
65	1008	5103
66	1015	5045
67	1022	4994
68	1036	4970
69	1043	4917
70	1067	4944
71	1077	4906
72	1091	4887
73	1104	4867
74	1114	4829
75	1220	5201
76	1239	5200
77	1253	5174
78	1329	5400
79	1340	5362
80	1354	5334
81	1367	5301
82	1372	5241
83	1384	5206
84	1399	5186
85	1414	5164
86	1468	5283
87	1493	5295
88	1500	5242
89	1512	5208
90	1533	5205
91	1548	5184
92	1558	5146
93	1570	5112
94	1601	5140
95	1618	5125
96	1630	5092
97	1636	5042
98	1642	4995
99	1652	4958
100	1705	5049
101	1730	5056
102	1737	5010
103	1743	4961
104	1751	4921
105	1761	4885
106	1771	4849
107	1779	4810
108	1790	4780
109	1806	4763
110	1825	4753
111	1843	4741
112	2007	5099
113	2077	5212
114	2135	5293
115	2143	5247
116	2179	5272
117	2198	5253
118	2264	5348
119	2286	5335
120	2302	5309
121	2316	5277
122	2328	5243
123	2344	5219
124	2364	5202
125	2386	5189
126	2418	5198
127	2435	5174
128	2449	5145
129	2502	5197
130	2520	5176
131	2568	5215
132	2583	5186
133	2589	5140
134	2605	5114
135	2617	5080
136	2623	5035
137	2637	5008
138	2655	4986
139	2665	4950
140	2671	4906
141	2686	4880
142	2751	4944
143	2787	4955
144	2798	4922
145	2835	4933
146	2862	4926
147	2879	4902
148	2891	4870
149	2901	4835
150	2917	4810
151	2926	4774
152	2932	4734
153	2945	4705
154	3015	4766
155	3030	4739
156	3050	4722
157	3063	4691
158	3088	4680
159	3313	4969
160	3325	4936
161	3330	4893
162	3339	4855
163	3345	4813
164	3353	4775
165	3358	4734
166	3373	4706
167	3391	4683
168	3413	4666
169	3430	4641
170	3464	4640
171	3481	4615
172	3495	4586
173	3508	4556
174	3597	4625
175	3674	4677
176	3691	4650
177	3704	4619
178	3737	4614
179	3745	4577
180	3759	4549
181	3776	4523
182	3794	4499
183	3844	4512
184	3858	4483
185	3868	4451
186	3878	4417
187	3894	4391
188	3906	4360
189	3922	4335
190	3932	4303
191	3938	4266
192	3957	4244
193	3974	4220
194	3986	4190
195	4002	4165
196	4017	4140
197	4036	4117
198	4052	4093
199	4106	4106
200	4168	4127
201	4183	4100
202	4198	4074
203	4207	4042
204	4221	4015
205	4252	4005
206	4359	4064
207	4371	4035
208	4385	4008
209	4400	3981
210	4417	3957
211	4438	3936
212	4459	3914
213	4471	3886
214	4480	3854
215	4494	3828
216	4510	3804
217	4528	3780
218	4537	3749
219	4550	3723
220	4562	3695
221	4630	3712
222	4659	3698
223	4717	3706
224	4735	3683
225	4750	3657
226	4767	3633
227	4780	3606
228	4843	3616
229	4860	3592
230	4883	3572
231	4897	3546
232	4908	3518
233	4920	3490
234	4930	3461
235	4944	3436
236	4960	3411
237	4986	3394
238	4996	3365
239	5010	3340
240	5017	3310
241	5024	3280
242	5040	3256
243	5050	3229
244	5106	3230
245	5134	3214
246	5175	3206
247	5186	3178
248	5192	3148
249	5201	3120
250	5210	3093
251	5226	3069
252	5236	3042
253	5242	3013
254	5251	2986
255	5258	2957
256	5266	2930
257	5276	2904
258	5290	2879
259	5303	2855
260	5320	2833
261	5340	2812
262	5374	2799
263	5386	2774
264	5399	2750
