HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Passenger,Total_Billed,Cabin_Deck,Cabin_Number,Cabin_Side
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,1,0.0,B,0,P
Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,2,1,736.0,F,0,S
Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,3,1,10383.0,A,0,S
Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,3,2,5176.0,A,0,S
Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,4,1,1091.0,F,1,S
Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5,1,774.0,F,0,P
Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,6,1,1584.0,F,2,S
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6,2,0.0,G,0,S
Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,7,1,1018.0,F,3,S
Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,8,1,0.0,B,1,P
Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,8,2,0.0,B,1,P
Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,8,3,8157.0,B,1,P
Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,9,1,1309.0,F,1,P
Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,10,1,809.0,G,1,S
Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,11,1,1003.0,F,2,P
Mars,False,55 Cancri e,27.0,False,1286.0,122.0,0.0,0.0,0.0,False,14,1,1408.0,F,3,P
Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,15,1,638.0,F,4,P
Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,16,1,0.0,F,5,P
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,17,1,0.0,G,0,P
Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,17,2,1092.0,F,6,P
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,1,0.0,E,0,S
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,20,2,0.0,E,0,S
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,20,3,0.0,E,0,S
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,20,4,0.0,E,0,S
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,5,0.0,E,0,S
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,0.0,E,0,S
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,22,1,1051.0,D,0,P
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,24,1,0.0,C,2,S
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,25,1,1223.0,F,6,S
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,26,1,7861.0,C,0,P
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,28,1,1309.0,F,8,P
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,30,1,1821.0,G,4,S
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,31,1,2854.0,F,9,P
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,31,2,0.0,F,9,P
Mars,False,TRAPPIST-1e,20.0,False,0.0,0.0,1750.0,990.0,0.0,True,31,3,2740.0,F,9,P
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,34,1,0.0,D,1,S
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,35,1,2699.0,D,1,P
Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,36,1,961.0,F,8,S
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,38,1,3355.0,F,10,S
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,39,1,0.0,G,1,P
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,41,1,0.0,G,2,P
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,43,1,3575.0,B,3,P
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,44,1,0.0,G,3,P
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,44,2,0.0,G,3,P
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,44,3,0.0,G,3,P
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,45,1,1214.0,F,10,P
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,45,2,0.0,F,10,P
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,0.0,0.0,False,50,1,790.0,E,1,S
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,51,1,1618.0,E,2,S
Earth,False,TRAPPIST-1e,50.0,False,4.0,0.0,2.0,4683.0,0.0,False,52,1,4689.0,G,6,S
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,53,1,1939.0,F,11,S
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,56,1,0.0,A,1,S
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,56,2,0.0,A,1,S
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,56,3,4547.0,A,1,S
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,58,1,0.0,G,7,S
